,Cost,Currency,Date,Description,Category,Group ID,Payment,Owe,Source
0,Dining out,18.48,GBP,2017-01-16,College meals ,,,0.0,splitwise
1,Groceries,28.24,GBP,2017-01-19,Sainsbury ,,,0.0,splitwise
2,Movies,6.6,GBP,2017-01-19,Cinema,,,0.0,splitwise
3,Dining out,3.39,GBP,2017-01-19,Boots meal deal ,,,0.0,splitwise
4,Groceries,2.35,GBP,2017-01-19,Sainsbury,,,0.0,splitwise
5,Dining out,5.0,GBP,2017-01-21,Curry night (simplified) ,,,0.0,splitwise
6,General,0.0,GBP,2017-01-21,Nanna mexico,,,0.0,splitwise
7,Groceries,1.6,GBP,2017-01-22,Sainsbury ,,,0.0,splitwise
8,Medical expenses,2.19,GBP,2017-01-23,Boots vitamins ,,,0.0,splitwise
9,Groceries,0.0,GBP,2017-01-24,Cheese,,,0.0,splitwise
10,Dining out,3.3,GBP,2017-01-27,West Cambridge lunch ,,,0.0,splitwise
11,Gifts,,GBP,2017-01-27,D.Foo Bday Bantz,,,0.0,splitwise
12,Groceries,27.34,GBP,2017-01-28,Sainsburys ,,,0.0,splitwise
13,Other,14.0,GBP,2017-01-28,Haircut ,,,0.0,splitwise
14,General,0.0,GBP,2017-01-28,"Bantz tip, sorry :P",,,0.0,splitwise
15,Liquor,19.3,GBP,2017-01-29,Pub,,,0.0,splitwise
16,Dining out,44.1,GBP,2017-02-01,College meals,,,0.0,splitwise
17,Groceries,13.29,GBP,2017-02-07,Sainsburys ,,,0.0,splitwise
18,Dining out,2.5,GBP,2017-02-08,West Cambridge meals ,,,0.0,splitwise
19,Bus/train,0.0,GBP,2017-02-10,Bus tickets,,,0.0,splitwise
20,Movies,0.0,GBP,2017-02-10,Lego batman movie,,,0.0,splitwise
21,Taxi,12.0,GBP,2017-02-10,Cab,,,0.0,splitwise
22,Dining out,130.0,GBP,2017-02-10,Frankie & Benny's,,,0.0,splitwise
23,Dining out,7.05,GBP,2017-02-11,Murray Edwards Brunch ,,,0.0,splitwise
24,Dining out,0.0,GBP,2017-02-11,Pizza! Takeaway!,,,0.0,splitwise
25,Dining out,4.0,GBP,2017-02-13,College dinner ,,,0.0,splitwise
26,General,3.5,GBP,2017-02-14,Bedding,,,0.0,splitwise
27,Dining out,2.5,GBP,2017-02-15,Coffee,,,0.0,splitwise
28,Groceries,13.74,GBP,2017-02-15,Sainsburys,,,0.0,splitwise
29,Dining out,63.51,GBP,2017-02-16,College meals ,,,0.0,splitwise
30,Dining out,0.0,GBP,2017-02-17,Pizza,,,0.0,splitwise
31,Plane,17.0,GBP,2017-02-18,Check in luggage to Salzburg,,,0.0,splitwise
32,Liquor,,GBP,2017-02-20,Cookie soda,,,0.0,splitwise
33,Liquor,0.0,GBP,2017-02-20,Cookie party,,,0.0,splitwise
34,Dining out,0.0,GBP,2017-02-23,Engineers' lunch,,,0.0,splitwise
35,Bus/train,1.0,GBP,2017-02-23,Bus,,,0.0,splitwise
36,Groceries,6.05,GBP,2017-02-24,Sainsburys ,,,0.0,splitwise
37,Groceries,,GBP,2017-02-26,Milk borrowing ,,,0.0,splitwise
38,Groceries,13.63,GBP,2017-02-26,Pasta party,,,0.0,splitwise
39,Dining out,47.93,GBP,2017-03-01,College meals ,,,0.0,splitwise
40,Liquor,2.0,GBP,2017-03-02,Pub ,,,0.0,splitwise
41,Dining out,0.0,GBP,2017-03-02,Curry,,,0.0,splitwise
42,Groceries,14.73,GBP,2017-03-03,Sainsburys ,,,0.0,splitwise
43,Dining out,0.0,GBP,2017-03-04,Pizza,,,0.0,splitwise
44,Dining out,8.0,GBP,2017-03-07,Cafe ,,,0.0,splitwise
45,Bus/train,1.0,GBP,2017-03-08,Bus,,,0.0,splitwise
46,Dining out,4.75,GBP,2017-03-08,Queens college Cafe ,,,0.0,splitwise
47,Other,18.0,GBP,2017-03-09,Zero hour musical,,,0.0,splitwise
48,Dining out,0.0,GBP,2017-03-09,Pizza on Callum,,,0.0,splitwise
49,Groceries,,GBP,2017-03-10,Milk borrowing ,,,0.0,splitwise
50,Groceries,9.14,GBP,2017-03-10,Aldi,,,0.0,splitwise
51,Groceries,6.2,GBP,2017-03-13,Sainsburys ,,,0.0,splitwise
52,General,0.0,GBP,2017-03-15,Logan,,,0.0,splitwise
53,General,0.0,GBP,2017-03-15,Byron's,,,0.0,splitwise
54,Dining out,62.96,GBP,2017-03-16,College meals ,,,0.0,splitwise
55,Dining out,7.53,GBP,2017-03-17,Curry night ,,,0.0,splitwise
56,Dining out,0.0,GBP,2017-03-18,Darryl curry night ,,,0.0,splitwise
57,Dining out,5.15,GBP,2017-03-18,M Edwards Brunch ,,,0.0,splitwise
58,Groceries,5.7,GBP,2017-03-20,Sainsburys ,,,0.0,splitwise
59,Dining out,0.0,GBP,2017-03-20,Indian Takeaway ,,,0.0,splitwise
60,Medical expenses,4.69,GBP,2017-03-20,Boots ,,,0.0,splitwise
61,Services,0.0,GBP,2017-03-21,Laundry,,,0.0,splitwise
62,Dining out,0.0,GBP,2017-03-22,Pizza,,,0.0,splitwise
63,Groceries,7.85,GBP,2017-03-23,Sainsburys ,,,0.0,splitwise
64,Dining out,8.24,GBP,2017-03-23,Wasabi sushi ,,,0.0,splitwise
65,General,,GBP,2017-03-27,Austria Accommodation extra,,,0.0,splitwise
66,Other,9.94,GBP,2017-03-31,Life,,,0.0,splitwise
67,Groceries,0.0,GBP,2017-04-01,Milk,,,0.0,splitwise
68,Dining out,83.31,GBP,2017-04-07,College meals ,,,0.0,splitwise
69,Dining out,2.8,GBP,2017-04-14,West Cambridge meals ,,,0.0,splitwise
70,Dining out,6.66,GBP,2017-04-16,College meals ,,,0.0,splitwise
71,Groceries,26.08,GBP,2017-04-17,Sainsburys ,,,0.0,splitwise
72,General,,GBP,2017-04-17,JFC,,,0.0,splitwise
73,Dining out,0.0,GBP,2017-04-19,Pizza,,,0.0,splitwise
74,Dining out,0.5,GBP,2017-04-20,Coffee,,,0.0,splitwise
75,Groceries,,GBP,2017-04-26,Milk,,,0.0,splitwise
76,Dining out,0.0,GBP,2017-04-27,Pizza,,,0.0,splitwise
77,Dining out,0.0,GBP,2017-04-28,Gabiday,,,0.0,splitwise
78,Groceries,10.65,GBP,2017-04-28,Sainsburys ,,,0.0,splitwise
79,Dining out,0.0,GBP,2017-04-29,Takeaway,,,0.0,splitwise
80,Dining out,69.21,GBP,2017-04-30,College meals ,,,0.0,splitwise
81,Dining out,3.5,GBP,2017-05-02,West Cambridge meals ,,,0.0,splitwise
82,Dining out,16.98,GBP,2017-05-06,Pizza,,,0.0,splitwise
83,Groceries,11.86,GBP,2017-05-08,Sainsburys ,,,0.0,splitwise
84,General,0.0,GBP,2017-05-16,Wings,,,0.0,splitwise
85,Dining out,69.06,GBP,2017-05-16,College meals ,,,0.0,splitwise
86,Groceries,0.0,GBP,2017-05-16,Milk,,,0.0,splitwise
87,Sports,5.2,GBP,2017-05-16,Climbing ,,,0.0,splitwise
88,Groceries,10.73,GBP,2017-05-19,Sainsburys ,,,0.0,splitwise
89,General,0.0,GBP,2017-05-22,Shopping,,,0.0,splitwise
90,Groceries,0.0,GBP,2017-05-24,Sainsbury's,,,0.0,splitwise
91,General,0.0,GBP,2017-05-24,Pizzaaaaa,,,0.0,splitwise
92,General,0.0,GBP,2017-05-27,Itahaas takeaway,,,0.0,splitwise
93,General,0.0,GBP,2017-05-27,Itahaas delivery cost,,,0.0,splitwise
94,Groceries,2.75,GBP,2017-05-30,Waitrose ,,,0.0,splitwise
95,Clothing,4.5,GBP,2017-05-30,Clothes,,,0.0,splitwise
96,Medical expenses,6.69,GBP,2017-05-30,Boots ,,,0.0,splitwise
97,Other,12.0,GBP,2017-05-30,Haircut ,,,0.0,splitwise
98,Household supplies,3.95,GBP,2017-05-30,Stationery ,,,0.0,splitwise
99,Dining out,84.5,GBP,2017-06-01,College meals ,,,0.0,splitwise
100,Dining out,0.0,GBP,2017-06-03,Pizza,,,0.0,splitwise
101,Movies,0.0,GBP,2017-06-05,Cinema tickets,,,0.0,splitwise
